Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
					BUCA<IH>								
					BUCF<IH>								
					BUCM<IH>								
					BUCSAV								
					BUE<IH>								
					BUEN<IH>								
					BUF<IH>								
					BUH<IH>								
					BUHGC<IH>								
					BUHR<IH>								
					BUL<IH>								
					BULQ<IH>								
					BULU<IH>								
					BUNH<IH>								
					BUNS<IH>								
					BUPL<IH>								
					BURD<IH>								
					BURP								
					BUS<IH>								
					BUT<IH>								
					BUTC								
					BVC								
					BVI<IH>								
					BVS<IH>								
					BYBS<IH>								
					BYDG<IH>								
					BYU								
					BZ<IH>								
					BZF<IH>								
					BZT								
					BiRDI								
					BioCC								
					BioGene								
					C<IH>								
					CA								
					CABI								
					CACA								
					CACC								
					CACS<IH>								
					CAEN								
					CAES								
					CAF<IH>								
					CAFB<IH>								
					CAG<IH>								
					CAH<IH>								
					CAHS<IH>								
					CAHUP<IH>								
					CAI<IH>								
					CAIA<IH>								
					CAIH<IH>								
					CAIM								
					CAIM<IH>								
					CAIRC<IH>								
					CAIRCC								
					CAIRNS<IH>								
					CAL<IH>								
					CALI<IH>								
					CALP<IH>								
					CALU								
					CALVIN<IH>								
					CAM								
					CAM<IH>								
					CAME<IH>								
					CAMS								
					CAMU<IH>								
					CAN<IH>								
					CANA<IH>								
					CANB<IH>								
					CANI<IH>								
					CANL<IH>								
					CANM<IH>								
					CANT<IH>								
					CANTY<IH>								
					CANU<IH>								
					CAPM								
					CAR<IH>								
					CARD								
					CARE								
					CARL<IH>								
					CARM<IH>								
					CARS								
					CART<IH>								
					CAS								
					CAS-IU								
					CAS-SU								
					CAS<IH>								
					CASM								
					CASMB								
					CASS								
					CAT<IH>								
					CATA<IH>								
					CATIE<IH>								
					CAU								
					CAU<IH>								
					CAUP								
					CAUP<IH>								
					CAUSC								
					CAVA<IH>								
					CAY<IH>								
					CAYM<IH>								
					CB								
					CB<IH>								
					CBD								
					CBF								
					CBFS<IH>								
					CBG<IH>								
					CBM<IH>								
					CBMAI								
					CBNM								
					CBPF<IH>								
					CBS								
					CBS<IH>								
					CBSIZA								
					CBTCCCAS								
					CBU								
					CBU<IH>								
					CBY<IH>								
					CC								
					CCA								
					CCAC								
					CCALA								
					CCAP								
					CCARM								
					CCAU<IH>								
					CCB								
					CCBAS								
					CCBAU								
					CCCC								
					CCCIEB								
					CCCM								
					CCCR<IH>								
					CCCS								
					CCCZ								
					CCCryo								
					CCDB								
					CCDM								
					CCDMBI								
					CCEB								
					CCEC<IH>								
					CCF								
					CCFC								
					CCFHE<IH>								
					CCFL								
					CCFVB								
					CCG								
					CCG<IH>								
					CCGB								
					CCGVCC								
					CCH<IH>								
					CCIAL								
					CCIBSO								
					CCIM								
					CCLU								
					CCM								
					CCM-A								
					CCM<IH>								
					CCMAC								
					CCMCU								
					CCMF								
					CCMGE								
					CCMH<IH>								
					CCMI								
					CCML								
					CCMM								
					CCMP								
					CCNH								
					CCNL<IH>								
					CCNP								
					CCNU<IH>								
					CCO<IH>								
					CCOS								
					CCR<IH>								
					CCRI								
					CCSIIA								
					CCSRL								
					CCSU<IH>								
					CCT								
